feature,mean,std,min,max
age,53.742317,15.940245,18.0,95.0
sex_female,0.519,0.499639,0.0,1.0
n_vascular_risk_factors,0.9888,0.955131,0.0,5.0
hypertension,0.3642,0.481205,0.0,1.0
diabetes,0.2108,0.407877,0.0,1.0
smoking,0.232,0.422109,0.0,1.0
prior_stroke,0.0646,0.245819,0.0,1.0
onset_acute,0.5642,0.495861,0.0,1.0
episode_duration_min,1160.041647,1384.148304,0.02,4320.0
positional_trigger,0.4028,0.490461,0.0,1.0
continuous_symptoms,0.4388,0.49624,0.0,1.0
hearing_loss,0.1582,0.364928,0.0,1.0
tinnitus,0.185,0.388298,0.0,1.0
headache,0.267,0.442392,0.0,1.0
nausea_vomiting,0.5196,0.499616,0.0,1.0
focal_neuro_deficit,0.103,0.303959,0.0,1.0
head_impulse_normal,0.4834,0.499724,0.0,1.0
nystagmus_vertical,0.1076,0.309875,0.0,1.0
nystagmus_direction_changing,0.142,0.34905,0.0,1.0
skew_deviation,0.101,0.301329,0.0,1.0
gait_unsteady_severe,0.1866,0.38959,0.0,1.0
triage_risk_score,0.386905,0.14611,0.075813,1.0
